철도운영기관명,선명,역명,지번주소,도로명주소,Latitude,Longitude
부산교통공사,3호선,배산,부산광역시 연제구 연산동 1805-3,부산광역시 연제구 연수로 지하 229,35.1745028,129.0867036
부산교통공사,3호선,사직,부산광역시 동래구 사직동 161-1,부산광역시 동래구 아시아드대로 지하 153,35.2014163,129.0677828
부산교통공사,3호선,수영,부산광역시 수영구 광안동 1091-1,부산광역시 수영구 수영로 지하 677(광안동),35.149633,129.111073
부산교통공사,3호선,숙등(부민병원),부산광역시 북구 덕천동 462,부산광역시 북구 만덕대로 지하79,35.2123675,129.0228269
부산교통공사,3호선,연산,부산광역시 연제구 연산동 1515-1,부산광역시 연제구 중앙대로 지하 1101,35.1880941,129.0784077
부산교통공사,3호선,종합운동장,부산광역시 연제구 거제동 1191-2,부산광역시 연제구 아시아드대로 지하 73,35.1898522,129.0682744
부산교통공사,3호선,체육공원,부산광역시 강서구 대저1동 2327-35,부산광역시 강서구 낙동북로 371,35.2088938,128.978389
부산교통공사,4호선,고촌,부산광역시 기장군 철마면 고촌리 518-2,부산광역시 기장군 철마면 반송로 991,35.2360263,129.1605183
부산교통공사,4호선,금사,부산광역시 금정구 금사동 154-1,부산광역시 금정구 반송로 465(금사동),35.2152226,129.1130694
부산교통공사,4호선,낙민,부산광역시 동래구 낙민동 205-4,부산광역시 동래구 충렬대로 지하 285,35.2009396,129.0903435
부산교통공사,4호선,동래,부산광역시 동래구 온천동 1486,부산광역시 동래구 충렬대로 지하 147,35.2009396,129.0903435
부산교통공사,4호선,명장,부산광역시 동래구 명장동 184,부산광역시 동래구 반송로 지하 281,35.2026267,129.0993545
부산교통공사,4호선,미남,부산광역시 동래구 온천동 1470,부산광역시 동래구 아시아드대로 지하 232,35.2014163,129.0677828
부산교통공사,4호선,반여농산물시장,부산광역시 해운대구 석대동 507-1,부산광역시 해운대구 반송로 550,35.2234855,129.1385592
부산교통공사,4호선,서동,부산광역시 금정구 서동 241,부산광역시 금정구 반송로 387(서동),35.215436,129.1052653
부산교통공사,4호선,석대,부산광역시 해운대구 석대동 574-14,부산광역시 해운대구 석대천로 121,35.2180971,129.1370944
부산교통공사,4호선,수안,부산광역시 동래구 수안동 204-2,부산광역시 동래구 충렬대로 지하 223,35.2009396,129.0903435
부산교통공사,4호선,안평(고촌주택단지),부산광역시 기장군 철마면 안평리 543-23,부산광역시 기장군 철마면 반송로 1001,35.2414468,129.1712214
부산교통공사,4호선,영산대(아랫반송),부산광역시 해운대구 반송동 698-12,부산광역시 해운대구 반송로 803,35.2259666,129.1462566
부산교통공사,4호선,윗반송,부산광역시 해운대구 반송동 385-56,부산광역시 해운대구 반송로 917,35.2234855,129.1385592
부산교통공사,4호선,충렬사(안락),부산광역시 동래구 안락동 473,부산광역시 동래구 반송로 지하 205,35.2026267,129.0993545
