노선ID,노선번호,정류소순번,정류소명,노드ID
5200068000,68,95,남광시장,180170101
5200101000,101,62,남광시장,180170101
5200134000,134,91,남광시장,180170101
5200051000,51,70,석포초등학교,180170102
5200068000,68,97,석포초등학교,180170102
5200101000,101,64,석포초등학교,180170102
5200134000,134,93,석포초등학교,180170102
5290702000,남구2,41,대우아파트,180170103
5290706000,남구6,19,대우아파트,180170103
5290702000,남구2,43,석포초등학교,180170104
5290706000,남구6,21,석포초등학교,180170104
5290702000,남구2,40,남광시장,180170105
5290706000,남구6,18,남광시장,180170105
5290706000,남구6,41,국제아파트,180170201
5200068000,68,11,동천초등학교,180170301
5200101000,101,52,동천초등학교,180170301
5200134000,134,11,동천초등학교,180170301
5290706000,남구6,38,동천초등학교,180170302
5200051000,51,71,부산박물관,180180101
5200068000,68,98,부산박물관,180180101
5200101000,101,65,부산박물관,180180101
5200134000,134,94,부산박물관,180180101
5290702000,남구2,44,문화회관입구,180180102
5290706000,남구6,22,문화회관입구,180180102
5200068000,68,8,석포초등학교,180180301
5200101000,101,49,석포초등학교,180180301
5200134000,134,8,석포초등학교,180180301
5200068000,68,10,남광시장,180180302
5200101000,101,51,남광시장,180180302
5200134000,134,10,남광시장,180180302
5290706000,남구6,37,남광시장,180180303
5290706000,남구6,36,대우아파트,180180304
5290706000,남구6,35,석포초등학교,180180305
5200138000,138,80,남구청후문,180190301
5200138000,138,79,남구청.남부교육지원청,180200301
5290703000,남구3,55,남구청.남구보건소,180200302
5290706000,남구6,29,남구청.남구보건소,180200302
5290709000,남구9,35,남구청.남구보건소,180200302
5200010000,10,45,연포초등학교,180210101
5200101000,101,42,연포초등학교,180210101
5200010000,10,46,세연고등학교,180210102
5200101000,101,43,세연고등학교,180210102
5290709000,남구9,33,세연고등학교,180210103
5291506000,사상구6,49,세연고등학교,180210103
5200138000,138,58,남구청후문,180210201
5291506000,사상구6,80,연포초등학교,180210302
5200022000,22,85,못골시장,180220101
5200024000,24,44,못골시장,180220101
5200027000,27,62,못골시장,180220101
5200041000,41,61,못골시장,180220101
5200042000,42,68,못골시장,180220101
5200083000,83,39,못골시장,180220101
5200083100,83-1,89,못골시장,180220101
5200108000,108,89,못골시장,180220101
5200138000,138,60,못골시장,180220101
5290703000,남구3,1,못골시장,180220102
5290703000,남구3,57,못골시장,180220102
5290706000,남구6,31,못골시장,180220102
5290709000,남구9,38,동성하이타운,180220201
5290709000,남구9,37,롯데슈퍼,180220202
5200022000,22,18,남구청.못골역,180220301
5200024000,24,21,남구청.못골역,180220301
5200027000,27,21,남구청.못골역,180220301
5200040000,40,49,남구청.못골역,180220301
5200041000,41,22,남구청.못골역,180220301
5200042000,42,43,남구청.못골역,180220301
5200083000,83,14,남구청.못골역,180220301
5200083100,83-1,22,남구청.못골역,180220301
5200108000,108,15,남구청.못골역,180220301
5201003F00,1003-F,47,남구청.못골역,180220301
5290703000,남구3,54,못골사거리,180220401
5290706000,남구6,28,못골사거리,180220401
5290709000,남구9,20,못골사거리,180220401
5200051000,51,62,부산공고,180230301
5200138100,138-1,87,부산공고,180230301
5200051000,51,63,대연푸르지오클라센트·동림리라,180230302
5200138100,138-1,88,대연푸르지오클라센트·동림리라,180230302
5200051000,51,64,성지고등학교,180230303
5200138100,138-1,89,성지고등학교,180230303
5290703000,남구3,5,부산공업고등학교후문건널목,180230304
5290702000,남구2,35,대연푸르지오클라센트·동림리라,180230305
5290703000,남구3,6,대연푸르지오클라센트·동림리라,180230305
5290702000,남구2,36,성지고등학교,180230306
5290702000,남구2,34,부산공업고등학교후문,180230307
5290703000,남구3,4,부산공업고등학교후문,180230307
5290701000,남구1,6,세연고등학교,180250201
5200010000,10,77,세연고등학교,180250301
5200101000,101,70,세연고등학교,180250301
5290709000,남구9,22,세연고등학교,180250302
5291506000,사상구6,78,세연고등학교,180250302
5290709000,남구9,23,해연중학교,180250303
5291506000,사상구6,79,해연중학교,180250303
5290701000,남구1,5,서원유통,180260301
5290701000,남구1,39,남산2차타워,180260401
5290701000,남구1,42,동천고등학교,180260402
5290702000,남구2,24,LG메트로시티입구,180280301
5290702000,남구2,55,LG메트로시티214동,180290101
5290702000,남구2,23,자연유치원,180290201
5290703000,남구3,48,산성교회,180300101
5290709000,남구9,40,산성교회,180300101
5290703000,남구3,51,부영카정비,180300301
5290706000,남구6,25,부영카정비,180300301
5290709000,남구9,17,부영카정비,180300301
5290703000,남구3,52,동성하이타운,180300302
5290706000,남구6,26,동성하이타운,180300302
5290709000,남구9,18,동성하이타운,180300302
5290703000,남구3,3,부산공업고등학교정문,180310201
5290709000,남구9,39,부산공업고등학교정문,180310201
5290703000,남구3,53,롯데슈퍼,180310301
5290706000,남구6,27,롯데슈퍼,180310301
5290709000,남구9,19,롯데슈퍼,180310301
5200010000,10,53,대천중학교,180320301
5200155000,155,57,대천중학교,180320301
5200583000,583,53,대천중학교,180320301
5290708000,남구8,34,대천중학교,180320302
5290708000,남구8,18,LG메트로시티234동,180330101
5291506000,사상구6,69,유엔조각공원,180340102
5291506000,사상구6,68,부산박물관.대연4치안센터,180340103
5200051000,51,61,유엔교차로(산성교회),180340401
5200051000,51,72,대연역.부산은행,180340501
5200101000,101,67,대연역.부산은행,180340501
5200138000,138,77,대연역.부산은행,180340501
5200051000,51,60,대연역.부산은행,180350201
5200101000,101,46,대연역.부산은행,180350201
