노선번호,노선ID,버스종류,기점,종점,첫차,막차,기본배차,평일배차,출퇴근배차,휴일배차
서구3,5290203000,마을버스,구덕운동장,충무동교차로,06:00,23:07,10,44,44,44
서구3-1,5290203100,마을버스,구덕운동장,충무동교차로,06:00,23:20,,22,22,22
서구5,5290205000,마을버스,동아대학교(구덕캠퍼스),동대신역,07:00,22:00,15,15,15,15
수영구2,5291202000,마을버스,수영강변e편한세상3차,남천자이.코오롱하늘채,05:50,22:00,8,13~14,11~12,16
수영구2-1,5291202100,마을버스,센텀시티역,민락수변공원,06:30,21:30,,60,60,60
연제구1,5291301000,마을버스,물만골,부산시청,06:00,23:15,10,15,15,15
연제구2,5291302000,마을버스,마하사,대진그린타워,06:00,23:15,15,15,15,15-18
연제구3,5291303000,마을버스,유림아시아드아파트,부산시청,06:00,23:15,10,10,10,10
연제구6,5291306000,마을버스,망미삼성아파트,부산시청,06:10,23:10,22,22,22,22
연제구7,5291307000,마을버스,엘지아파트,부산시청,06:00,23:20,10,10,10,10
영도구1,5290401000,마을버스,홈플러스,유림아파트,06:00,23:30,12,12,12,12
영도구2,5290402000,마을버스,체육공원,영선동 반도보라아파트,06:15,22:45,10,15-18,13-18,15-18
영도구5,5290405000,마을버스,동삼그린힐아파트,연안부두,06:00,23:30,11,11,15,15
영도구7,5290407000,마을버스,청학동시장,동삼그린힐아파트,06:00,22:50,25,25,25,25
중구1,5290101000,마을버스,충무동교차로,동대신역,06:00,23:33,12,10,10,10
해운대구1,5290901000,마을버스,센텀글로리아아파트,동해선재송역,07:35,16:55,,60,60,60
해운대구10,5290910000,마을버스,청사포,해운대역,06:30,22:30,20,20-25,20,20-25
해운대구2,5290902000,마을버스,청사포,해운대역,06:30,22:30,20,15,15,15
해운대구3,5290903000,마을버스,센텀글로리아아파트,수영교차로,06:20,22:00,20,20,20,30
해운대구3-1,5290903100,마을버스,센텀글로리아아파트,센텀시티역,06:10,22:30,20,20,20,30
해운대구3-2,5290903200,마을버스,센텀시티역,센텀피오레a,06:10,22:10,16,16,16,20
해운대구7,5290907000,마을버스,청사포,해운대역,06:00,22:20,20,20-25,20-25,20-25
