locallow_nm,노드ID,정류소명
동래구,165940404,래미안4단지
동래구,165950101,효자암
동래구,165950102,만덕터널입구
동래구,165950201,대동아파트
동래구,165950202,래미안209동
동래구,165950204,래미안201동
동래구,165950401,화신아파트
동래구,165950402,삼협아파트
동래구,165950403,화신아파트
동래구,165950501,화신아파트
연제구,165960101,화신아파트
동래구,165960201,대선주조
동래구,165960202,부산교육대학교후문
동래구,165960203,화신아파트
동래구,165970301,경보아파트
동래구,165970302,달북초등학교
동래구,165970303,동서산장아파트
동래구,165970304,삼정그린코아포레스트
동래구,165980101,경보아파트
동래구,165980102,달북초등학교
동래구,165980103,미남교
동래구,165980104,삼정그린코아포레스트
동래구,165980201,달북초등학교
동래구,165980202,사직초등학교앞교차로
동래구,165980203,사직고등학교
동래구,165980301,온천중학교
동래구,165990301,온천초등학교
동래구,166000201,롯데백화점동래점
동래구,166000301,롯데백화점동래점남문
동래구,166010201,롯데백화점동래점
동래구,166010301,원예고등학교
동래구,166010302,우장춘기념관
동래구,166010303,유락여자중학교
동래구,166020101,유락여자중학교
동래구,166020201,온천초등학교
동래구,166020301,우장춘기념관
동래구,166030101,동래래미안아이파크
동래구,166030201,럭키아파트후문
동래구,166030301,동래래미안아이파크
동래구,166030302,럭키아파트
동래구,166040101,럭키아파트
동래구,166040201,동래럭키아파트
동래구,166040202,광혜병원.미남교차로
동래구,166060201,럭키주유소
동래구,166070203,안락뜨란채삼거리
동래구,166070204,부산원동역
동래구,166100101,세병교
동래구,166110301,명장시장
동래구,166130101,협진태양맨션
동래구,166140201,식물원입구
동래구,166140202,온천시장(목욕타운)
동래구,166140203,경보아파트교차로
금정구,166140301,식물원입구
금정구,166140401,경보아파트교차로
동래구,166150101,식물원입구
동래구,166150301,온천시장
동래구,166150302,온천장
동래구,166160101,온천장역
동래구,166160301,온천장아스타아파트
동래구,166170101,동래역
동래구,166170201,내성중학교
동래구,166180201,내성중학교
동래구,166180401,동래역
동래구,166180402,동래역1번출구
동래구,166220401,동래시장
동래구,166250301,사직역
동래구,166260101,사직운동장
동래구,166260301,사직야구장
동래구,166270201,새마을금고
동래구,166310101,명장2동행정복지센터
동래구,166310401,조양아파트
동래구,166320101,명장정수사업소
동래구,166330101,진흥상가
동래구,166330102,안락초등학교
동래구,166330103,명장1동행정복지센터
동래구,166330201,부산은행
동래구,166330202,안락병원
동래구,166330401,1080안경점
동래구,166330402,삼성아파트
동래구,166340201,충렬주유소
동래구,166350201,동래구청
동래구,166350501,동래구청
동래구,166350502,구 부산지방기상청
동래구,166360301,안락교차로
동래구,166360302,벽산아파트
동래구,166360401,안락교차로
동래구,166390301,안락동우체국.동해선안락역
동래구,166390302,안락동우체국.동해선안락역
동래구,166400101,안락동우체국.동해선안락역
동래구,166400102,안락동우체국.동해선안락역
동래구,166410201,동부산아이존빌아파트
동래구,166410202,안락경동아파트
동래구,166410203,동부산아이존빌아파트
동래구,166410204,안락경동아파트
동래구,166410301,강변뜨란채입구
동래구,166410302,온천천카페거리
동래구,166420101,강변뜨란채아파트
동래구,166420201,온천천카페거리
동래구,166420302,강변뜨란채아파트
동래구,166420303,한성기린아파트
동래구,166430201,동래봉생병원
동래구,166440101,동래봉생병원
동래구,166450101,우성아파트
동래구,166450301,우성아파트
동래구,166460101,강변뜨란채아파트
동래구,166460102,강변뜨란채아파트
동래구,166460103,한성기린아파트
동래구,166460201,안진초등학교
동래구,166460301,벽산한신아파트
동래구,166460302,안민초등학교
동래구,166460303,중앙하이츠아파트
동래구,166480101,온천장
동래구,166480102,온천예식장
동래구,166490201,명장조양맨션(명장역)
동래구,166490202,명장1치안센터
동래구,166500301,명장조양맨션(명장역)
동래구,166510101,명장1동행정복지센터
동래구,166510102,명장시장
동래구,166510103,명장1동새마을금고
동래구,166510104,명장시장
동래구,166510201,명장1동행정복지센터
동래구,166510202,안락초등학교
동래구,166510203,진흥상가
동래구,166510301,명장1치안센터
동래구,166520101,충렬초등학교
동래구,166520301,혜화여고.충렬고
동래구,166540101,한우크로바아파트
동래구,166540102,한우크로바아파트
동래구,166550301,부산은행
동래구,166550302,안락병원
동래구,166560301,명장조양맨션(명장역)
동래구,166570101,명장조양맨션(명장역)
동래구,166580101,벽산한신아파트
동래구,166580102,안민초등학교
동래구,166580103,중앙하이츠아파트
동래구,166590203,낙민역.동래고등학교
동래구,166600101,삼익아파트정문
동래구,166600201,국민시장
동래구,166600201,국민시장
동래구,166600301,삼익아파트
동래구,166600302,삼익아파트후문
동래구,166610101,사직사거리
동래구,166610201,사직사거리
동래구,166610202,사직야구장
동래구,166610301,사직사거리
동래구,166610401,사직사거리
동래구,166620101,쌍용예가입구
동래구,166620201,쌍용예가입구
동래구,166630301,동래역
동래구,166640101,금강초등학교
동래구,166640102,금강초등학교
동래구,166640201,사직역
동래구,166640301,사직1동행정복지센터
동래구,166650201,사직야구장
동래구,166660101,여명중학교
동래구,166660301,사직운동장
동래구,166660303,사직운동장
동래구,166680101,화신아파트
동래구,166700301,사직동교회
동래구,166700302,사직시장
동래구,166720401,화신아파트
동래구,166720501,화신아파트
동래구,166730101,온샘초등학교
동래구,166760401,미남교차로.미남역
동래구,166760402,미남역
동래구,166770301,미남역.반도스카이뷰
동래구,166780101,미남역.반도스카이뷰
동래구,166780103,미남역
동래구,166780202,반도보라스카이뷰
동래구,166780203,사직성당
동래구,166780301,반도보라스카이뷰
동래구,166790201,사직성당
동래구,166790202,금강시장
동래구,166790301,반도보라스카이뷰
동래구,166800301,미남역11번출구
동래구,166810301,미남교차로.미남역
동래구,166820101,온천중학교
동래구,166820201,달북마을
동래구,166830101,백제약국
동래구,166830201,사직동
동래구,166830401,사직성당
동래구,166830402,금강시장
동래구,166830403,사직성당
동래구,166840201,동래3차SK뷰
동래구,166840202,동래3차SK뷰
동래구,166840301,온천프라자
동래구,166850101,사직운동장
동래구,166850102,사직운동장
동래구,166880201,동래한전
동래구,166890201,사직실내수영장
동래구,166900101,광혜병원.미남역
동래구,166950201,동래한전
동래구,167000101,안락2동행정복지센터
동래구,167020101,뜨란채아파트
동래구,167020201,안락중학교후문
동래구,167020301,안남초등학교
동래구,167020302,안남초등학교
동래구,167030101,안락뜨란채아파트205동
동래구,167030301,안락중학교후문
동래구,167040301,안락뜨란채아파트205동
동래구,167080101,동래시장
동래구,167140101,동래우체국
동래구,167140102,명륜초등학교
동래구,167150201,현대아파트.명륜아이파크
동래구,167150202,복산동행정복지센터
동래구,167150301,명륜초등학교.동래향교
동래구,167190201,협진아파트
동래구,167200201,명장2동행정복지센터
동래구,167210101,학산여자고등학교
동래구,167240101,동래교육청후문
동래구,167240102,동호탕
동래구,167240103,한국상사
동래구,167240301,동래시장
동래구,167300101,사직야구장
동래구,167300102,사직야구장
동래구,167310101,동래전화국
동래구,167320101,동래구청
동래구,167330201,대동병원
동래구,167360101,명륜자이아파트
동래구,167360102,명륜교차로.명륜자이아파트
동래구,167360301,동래중학교
동래구,167360302,명륜역입구
동래구,167380101,남일중학교
동래구,167390101,남일중학교
동래구,167430101,메가마트동래점후문
동래구,167450201,메가마트동래점
동래구,167470101,금정산약수터
동래구,167480101,금정산약수터
동래구,167480201,무량수요양원
동래구,167480202,온천슈퍼
동래구,167480203,원광사
동래구,167480204,진양집
동래구,167490201,금솔장
동래구,167490202,무량수요양원
동래구,167490203,원광사
동래구,167490204,진양집
동래구,167500201,온천슈퍼
동래구,167520101,새들원테니스장
동래구,167540201,새들원테니스장
동래구,167550101,화신아파트
동래구,167570101,달북마을
동래구,167580101,금강초등학교
동래구,167590201,금강초등학교
동래구,167600101,반도보라스카이뷰
동래구,167600201,이편한동래아시아드아파트
동래구,167600301,금강초등학교
동래구,167600302,금강초등학교
동래구,167610201,이편한동래아시아드아파트
동래구,167620101,공영아파트
동래구,167640101,OK슈퍼
동래구,167640201,공영아파트
중구,167660301,부산터널위
중구,167670201,영주신호대
중구,167670202,코모도호텔
중구,167670203,코모도호텔입구
중구,167680101,영주동
중구,167680201,영주동
중구,167710301,제일은행앞
중구,167730101,부산항만공사
중구,167770201,부평시장
중구,167770202,부평시장
중구,167770301,보수사거리
중구,167770401,보수사거리
중구,167780101,보수동책방골목
중구,167780201,보수사거리
중구,167790101,새들맨션
중구,167790201,국제시장
중구,167790202,국제시장
중구,167790203,국제시장
중구,167790204,국제시장.부산근현대역사관
중구,167790401,보수동책방골목
중구,167810401,서구청.충무동
중구,167810404,충무동교차로
중구,167830101,부산디지털고
중구,167830102,청운아파트
중구,167830103,동주파크맨션
중구,167830201,중구종합사회복지관
중구,167830202,중구복지관
중구,167840101,중앙공원.민주공원입구
중구,167840102,시민아파트
중구,167840201,중앙공원.민주공원입구
중구,167840202,동주파크맨션
중구,167840203,청운아파트
중구,167840204,부산디지털고
중구,167840205,대청공원원로의집
중구,167850201,영도대교.남포역
중구,167850202,영도대교.남포역
중구,167870102,광복로
중구,167870103,연안부두
중구,167890101,보수초등학교
서구,167900101,화랑초등학교
서구,167900401,동아대부민캠퍼스
중구,167910101,중구청.메리놀병원
중구,167910102,거북맨션
중구,167910201,중구청.메리놀병원
중구,167910202,코모도호텔
중구,167910301,새들맨션
중구,167920101,부평시장
중구,167920102,부평시장
서구,167920303,서구청
서구,167920305,서구청
중구,167920501,(구)남포주유소
중구,167930101,2부두
중구,167930102,"중부경찰서,연안여객터미널"
중구,167930201,부산세관
중구,167950102,백산기념관.영화체험박물관
중구,167950301,국제시장
중구,167950303,국제시장
중구,167960201,영도대교.남포역
중구,167960202,영도대교.남포역
중구,167960203,영도대교.남포역
동구,167970101,동일파크맨션
중구,167970102,영주삼거리
동구,167970103,화신아파트
중구,167970201,동아아파트
중구,167970202,금호아파트
중구,167970203,부산디지털고
중구,167970301,시민아파트
중구,167970302,중앙공원.민주공원입구
중구,168000101,신동아시장
중구,168000102,신동아시장
중구,168000104,자갈치시장
중구,168000105,자갈치시장
중구,168020101,거북맨션
중구,168020102,중구청.메리놀병원
중구,168020201,부산디지털고
중구,168020202,금호아파트
중구,168020203,동아아파트
중구,168040301,중구노인복지회관
중구,168050201,중구노인복지회관
중구,168070101,한신스포렉스
중구,168080201,한신스포렉스
중구,168090101,남해슈퍼
중구,168100101,남해슈퍼
중구,168100301,산복도로교차로
중구,168110201,보수아파트
중구,168110202,보수어린이집
중구,168110203,중구노인정
중구,168110204,혜광고등학교후문
서구,168120401,중앙공원
중구,168140301,중앙공원
서구,168150201,중앙도서관
서구,168160101,증앙도서관
중구,168170201,서구복지회관
중구,168180101,서구복지회관
중구,168180201,혜광분식
중구,168190101,보수아파트
중구,168190102,보수어린이집
중구,168190103,중구노인정
중구,168190104,혜광고등학교후문
중구,168190201,혜광분식
중구,168250101,중구종합사회복지관
중구,168250102,중구복지관
중구,168250301,보수아파트
서구,168250302,혜광고교
서구,168250303,락서암
서구,168250304,대신여중
서구,168250305,동대신2동
서구,168250306,동대고개
중구,168250401,산복도로교차로
서구,168280101,서대시장
서구,168280301,서대신역.서부경찰서
서구,168290101,서대시장.동대신역
서구,168290302,서대시장.동대신역
서구,168310301,동신초등학교
서구,168310302,동신초등학교
서구,168320201,동대신역
서구,168320202,동대신역
서구,168320301,서대신우체국
서구,168320302,구덕운동장
서구,168320303,구덕운동장(종점)
서구,168320304,구덕운동장
서구,168330101,문화아파트
서구,168330102,문화아파트
서구,168340201,부경고교
서구,168340202,부경고교
서구,168340203,부경고교
서구,168340302,구덕실내체육관
서구,168350101,동아대부민캠퍼스
서구,168350201,동아대부민캠퍼스
서구,168350401,서부교회
서구,168360101,동아대부민캠퍼스
서구,168370101,동대시장
서구,168370201,서부교회
서구,168370202,서부교회
서구,168370301,서대시장.동대신역
서구,168370401,동대신역
서구,168380101,부산대학병원.토성역
서구,168380301,토성동
서구,168380302,토성동
서구,168380303,토성역
서구,168380401,토성역.아미동입구
서구,168380402,부산대학교병원
서구,168380403,아미파출소
서구,168390101,동아대부민캠퍼스
서구,168390201,영락교회
서구,168390301,부산대학병원.토성역
서구,168400101,충무동교차로
서구,168400102,충무시장
서구,168400201,남부민시장입구
서구,168400401,토성동
서구,168400402,부산대학병원.토성역
서구,168400403,토성동
서구,168410101,대청마루
서구,168410102,영산3동아파트
서구,168410103,한국빌라
서구,168410201,동대신2동
서구,168410202,동대고개
서구,168410203,대신여중
서구,168410204,락서암
서구,168410205,혜광고교
중구,168410206,보수아파트
서구,168410301,경남고등학교입구
서구,168420101,송도입구
서구,168420301,고신대학교복음병원
서구,168430101,고신대학교복음병원
서구,168430201,알로이시오의원
서구,168440201,알로이시오의원
사하구,168440401,감천초등학교
사하구,168440402,남성한빛가든
사하구,168440403,감천사거리
서구,168450101,신익아파트
서구,168450102,부산관광고교
서구,168450201,암남동행정복지센터
서구,168460201,충무동해안시장
서구,168460202,충무동해안시장
서구,168460301,충무쇼핑.충무동새벽시장
서구,168460302,공동어시장
서구,168460303,충무동교차로
서구,168460304,대진아파트
서구,168460305,등대시장
서구,168460306,대림아파트
서구,168460401,자갈치역.충무동교차로
서구,168460402,충무동교차로
서구,168460403,충무시장
서구,168470101,동대신3동
서구,168470102,동대신3동
서구,168470201,동신초등학교
서구,168470202,동신초등학교입구
서구,168470203,서여고
서구,168470204,동신초등학교
서구,168470205,서여자고등학교
서구,168470401,동아대병원입구
서구,168470402,동아탕
서구,168480101,초장중학교
서구,168480102,하동상회
서구,168480103,초장동
서구,168480201,아미초등학교
서구,168490101,아미초등학교
서구,168490201,광성사
서구,168490202,산상교회.비석문화마을
서구,168490203,세화어린이집
서구,168490204,아미동공영주차장
서구,168490205,아미청년회
서구,168490206,아미초등학교
서구,168490207,한샘슈퍼
서구,168490208,미화당슈퍼
서구,168490301,아미파출소
서구,168500101,토성역.아미동입구
서구,168500102,부산대학교병원
서구,168500103,아미시장
서구,168500104,토성역
서구,168500201,아미파출소
서구,168500301,아동보호종합센터
서구,168500302,천주교아파트
서구,168500303,아동보호종합센터
서구,168510101,동원냉장
서구,168510301,감천1.2.3부두
서구,168520101,모지포마을
서구,168520102,모지포마을입구
서구,168520201,성진수산
서구,168520301,동원냉장
서구,168530401,영락교회
서구,168540101,신익아파트
서구,168540102,부산관광고교
서구,168540201,남부민동
서구,168540301,남부민2동행정복지센터
서구,168540302,천마우편취급국
서구,168540303,남부민초등학교
서구,168550201,모지포마을입구
서구,168550202,모지포마을
서구,168550301,휴게소
서구,168550302,암남공원
서구,168560101,송도교차로
서구,168560201,송도초등학교
서구,168560202,송도해수욕장
서구,168560203,송도공영주차장
서구,168560204,송도혜성아파트·풍림아이원아파트
서구,168560301,송도입구
서구,168570101,구덕운동장
서구,168570102,구덕야구장
서구,168570301,구덕초등학교
서구,168570501,경남고등학교
서구,168580101,구덕초등학교
서구,168590101,광성사
서구,168590102,대진슈퍼
서구,168590103,산상교회.비석문화마을
서구,168590104,세화어린이집
서구,168590105,아미동공영주차장
서구,168590106,아미청년회
서구,168590107,아미초등학교
서구,168590108,미화당슈퍼
사하구,168590201,감천문화마을.부산교육역사관
사하구,168590202,구감
서구,168590203,아미동감천삼거리
서구,168600101,천주교아파트
서구,168600102,아동보호종합센터
서구,168600103,아동보호종합센터
서구,168600104,천주교아파트
서구,168600201,세신빌라
서구,168600301,까치새길입구
서구,168600302,아름다운교회
서구,168600303,까치고개. 서구아미드림도서관
서구,168610101,삼육부산병원.서대신역
서구,168610102,서대신역
서구,168610201,서대신동
서구,168610202,광민약국.서대신동
서구,168610203,삼육부산병원
서구,168610204,협성아파트
서구,168610301,남성한빛.대신더샵
서구,168610302,대신롯데캐슬아파트
서구,168610303,협성아파트
서구,168620101,서대신역.서대신교차로
서구,168620102,부경고교
서구,168620103,서대신역
서구,168620104,부경고등학교
서구,168620201,서대신역.서부경찰서
서구,168620302,서대신교차로.서대신역
서구,168620401,삼육부산병원
서구,168630201,알로이시오초등학교
서구,168640301,해강노인관
서구,168640302,남부민동경로당
서구,168640303,동천아파트
서구,168640304,대원사
서구,168640305,초장동
서구,168660201,민방위교육장
서구,168670101,부산터널입구
서구,168670201,화랑초등학교
서구,168670302,동대신시장
서구,168670303,부산은행
